49ers,charlotte 49ers,,,,,,,,,,,,
a&m,alabama a&m bulldogs,texas a&m aggies,,,,,,,,,,,
abilene christian,abilene christian wildcats,,,,,,,,,,,,
aggies,new mexico state aggies,north carolina a&t aggies,texas a&m aggies,uc davis aggies,utah state aggies,,,,,,,,
air force,air force falcons,,,,,,,,,,,,
air force falcons,air force falcons,,,,,,,,,,,,
airforce,air force falcons,,,,,,,,,,,,
akron,akron zips,,,,,,,,,,,,
akron zips,akron zips,,,,,,,,,,,,
alabama,alabama crimson tide,,,,,,,,,,,,
alabama a&m,alabama a&m bulldogs,,,,,,,,,,,,
alabama a&m bulldogs,alabama a&m bulldogs,,,,,,,,,,,,
alabama bandwagon,alabama crimson tide,,,,,,,,,,,,
alabama crimson tide,alabama crimson tide,,,,,,,,,,,,
alabama state,alabama state hornets,,,,,,,,,,,,
alabama state hornets,alabama state hornets,,,,,,,,,,,,
albany,albany great danes,,,,,,,,,,,,
albany great danes,albany great danes,,,,,,,,,,,,
alberta,alberta golden bears,,,,,,,,,,,,
alberta golden bears,alberta golden bears,,,,,,,,,,,,
alcorn state,alcorn state braves,,,,,,,,,,,,
alcorn state braves,alcorn state braves,,,,,,,,,,,,
appalachian state,appalachian state mountaineers,,,,,,,,,,,,
appalachian state mountaineers,appalachian state mountaineers,,,,,,,,,,,,
argonauts,west florida argonauts,,,,,,,,,,,,
arizona,arizona wildcats,,,,,,,,,,,,
arizona state,arizona state sun devils,,,,,,,,,,,,
arizona state sun devils,arizona state sun devils,,,,,,,,,,,,
arizona wildcats,arizona wildcats,,,,,,,,,,,,
arkansas,arkansas razorbacks,,,,,,,,,,,,
arkansas razorbacks,arkansas razorbacks,,,,,,,,,,,,
arkansas state,arkansas state red wolves,,,,,,,,,,,,
arkansas state red wolves,arkansas state red wolves,,,,,,,,,,,,
army,army west point,,,,,,,,,,,,
army west point,army west point,,,,,,,,,,,,
asu,arizona state sun devils,,,,,,,,,,,,
au,auburn tigers,alabama crimson tide,arizona wildcats,arkansas razorbacks,,,,,,,,,
auburn,auburn tigers,,,,,,,,,,,,
auburn tigers,auburn tigers,,,,,,,,,,,,
austin peay,austin peay governors,,,,,,,,,,,,
austin peay governors,austin peay governors,,,,,,,,,,,,
aztecs,san diego state aztecs,,,,,,,,,,,,
badgers,wisconsin badgers,,,,,,,,,,,,
ball state,ball state cardinals,,,,,,,,,,,,
ball state cardinals,ball state cardinals,,,,,,,,,,,,
bama,alabama crimson tide,,,,,,,,,,,,
baylor,baylor bears,,,,,,,,,,,,
baylor bears,baylor bears,,,,,,,,,,,,
bc,boston college eagles,,,,,,,,,,,,
bearcats,cincinnati bearcats,northwest missouri state bearcats,,,,,,,,,,,
bearkats,sam houston state bearkats,,,,,,,,,,,,
bears,alberta golden bears,baylor bears,brown bears,california golden bears,central arkansas bears,kutztown golden bears,maine black bears,mercer bears,mercer bears,missouri state bears,morgan state bears,northern colorado bears,
beavers,oregon state beavers,,,,,,,,,,,,
beavs,oregon state beavers,,,,,,,,,,,,
bengals,buffalo state bengals,idaho state bengals,,,,,,,,,,,
bgu,bowling green falcons,,,,,,,,,,,,
big green,dartmouth big green,,,,,,,,,,,,
big red,cornell big red,,,,,,,,,,,,
bill & mary,william & mary tribe,,,,,,,,,,,,
bill & mary tribe,william & mary tribe,,,,,,,,,,,,
bison,bucknell bison,howard bison,north dakota state bison,,,,,,,,,,
black bears,maine black bears,,,,,,,,,,,,
blazers,uab blazers,,,,,,,,,,,,
blue devils,duke blue devils,,,,,,,,,,,,
blue hawks,dickinson state blue hawks,,,,,,,,,,,,
blue hens,delaware fightin' blue hens,,,,,,,,,,,,
blue hose,presbyterian blue hose,,,,,,,,,,,,
blue raiders,middle tennessee blue raiders,,,,,,,,,,,,
bobcats,montana state bobcats,ohio bobcats,texas state bobcats,,,,,,,,,,
boilermakers,purdue boilermakers,,,,,,,,,,,,
boise,boise state broncos,,,,,,,,,,,,
boise st,boise state broncos,,,,,,,,,,,,
boise state,boise state broncos,,,,,,,,,,,,
boise state broncos,boise state broncos,,,,,,,,,,,,
boston college,boston college eagles,,,,,,,,,,,,
boston college eagles,boston college eagles,,,,,,,,,,,,
bowling green,bowling green falcons,,,,,,,,,,,,
bowling green falcons,bowling green falcons,,,,,,,,,,,,
bgsu,bowling green falcons,,,,,,,,,,,,
braves,alcorn state braves,,,,,,,,,,,,
brigham young cougars,byu cougars,,,,,,,,,,,,
broncos,boise state broncos,hastings broncos,western michigan broncos,,,,,,,,,,
brown,brown bears,,,,,,,,,,,,
brown bears,brown bears,,,,,,,,,,,,
bruins,ucla bruins,,,,,,,,,,,,
bryant,bryant bulldogs,,,,,,,,,,,,
bryant bulldogs,bryant bulldogs,,,,,,,,,,,,
bsu,boise state broncos,,,,,,,,,,,,
bu,baylor bears,,,,,,,,,,,,
buccaneers,charleston southern buccaneers,east tennessee state buccaneers,,,,,,,,,,,
buckeyes,ohio state buckeyes,,,,,,,,,,,,
bucknell,bucknell bison,,,,,,,,,,,,
bucs,charleston southern buccaneers,east tennessee state buccaneers,,,,,,,,,,,
buffalo,buffalo bulls,,,,,,,,,,,,
buffalo bulls,buffalo bulls,,,,,,,,,,,,
buffalo st.,buffalo state bengals,,,,,,,,,,,,
buffalo state bengals,buffalo state bengals,,,,,,,,,,,,
buffaloes,colorado buffaloes,,,,,,,,,,,,
bulldogs,alabama a&m bulldogs,bryant bulldogs,butler bulldogs,drake bulldogs,fresno state bulldogs,gardner-webb runnin' bulldogs,georgia bulldogs,louisiana tech bulldogs,mississippi state bulldogs,south carolina state bulldogs,the citadel bulldogs,yale bulldogs,
bulls,buffalo bulls,,,,,,,,,,,,
butler,butler bulldogs,,,,,,,,,,,,
butler bulldogs,butler bulldogs,,,,,,,,,,,,
byu,byu cougars,,,,,,,,,,,,
byu cougars,byu cougars,,,,,,,,,,,,
cal,california golden bears,,,,,,,,,,,,
cal golden bears,california golden bears,,,,,,,,,,,,
cal poly,cal poly mustangs,,,,,,,,,,,,
cal poly mustangs,cal poly mustangs,,,,,,,,,,,,
calgary,calgary dinos,,,,,,,,,,,,
calgary dinos,calgary dinos,,,,,,,,,,,,
california,california golden bears,,,,,,,,,,,,
california (pa) vulcans,california (pa) vulcans,,,,,,,,,,,,
california golden bears,california golden bears,,,,,,,,,,,,
california pa,california (pa) vulcans,,,,,,,,,,,,
camels,campbell fighting camels,,,,,,,,,,,,
campbell,campbell fighting camels,,,,,,,,,,,,
campbell fighting camels,campbell fighting camels,,,,,,,,,,,,
campbellsville,campbellsville tigers,,,,,,,,,,,,
campbellsville tigers,campbellsville tigers,,,,,,,,,,,,
canes,miami hurricanes,,,,,,,,,,,,
carabins,montréal carabins,,,,,,,,,,,,
cardinal,stanford cardinal,,,,,,,,,,,,
cardinals,ball state cardinals,lamar cardinals,louisville cardinals,,,,,,,,,,
carleton,carleton (on) ravens,,,,,,,,,,,,
carleton (on) ravens,carleton (on) ravens,,,,,,,,,,,,
carleton ravens,carleton (on) ravens,,,,,,,,,,,,
carolina,north carolina tar heels,south carolina gamecocks,,,,,,,,,,,
catamounts,western carolina catamounts,,,,,,,,,,,,
catholics,notre dame fighting irish,,,,,,,,,,,,
cats,abilene christian wildcats,,,,,,,,,,,,
cavs,virginia cavaliers,,,,,,,,,,,,
central arkansas,central arkansas bears,,,,,,,,,,,,
central arkansas bears,central arkansas bears,,,,,,,,,,,,
central florida,ucf knights,,,,,,,,,,,,
central michigan,central michigan chippewas,,,,,,,,,,,,
central michigan chippewas,central michigan chippewas,,,,,,,,,,,,
chanticleers,coastal carolina chanticleers,,,,,,,,,,,,
chapel hill,north carolina tar heels,,,,,,,,,,,,
charleston southern,charleston southern buccaneers,,,,,,,,,,,,
charleston southern buccaneers,charleston southern buccaneers,,,,,,,,,,,,
charlotte,charlotte 49ers,,,,,,,,,,,,
charlotte 49ers,charlotte 49ers,,,,,,,,,,,,
chattanooga,chattanooga mocs,,,,,,,,,,,,
chattanooga mocs,chattanooga mocs,,,,,,,,,,,,
chippewas,central michigan chippewas,,,,,,,,,,,,
chokies,virginia tech hokies,,,,,,,,,,,,
cincinnati,cincinnati bearcats,,,,,,,,,,,,
cincinnati bearcats,cincinnati bearcats,,,,,,,,,,,,
cis,cis,,,,,,,,,,,,
citadel,the citadel bulldogs,,,,,,,,,,,,
citadel bulldogs,the citadel bulldogs,,,,,,,,,,,,
clemson,clemson tigers,,,,,,,,,,,,
clemson tigers,clemson tigers,,,,,,,,,,,,
cmu,central michigan chippewas,,,,,,,,,,,,
coastal carolina,coastal carolina chanticleers,,,,,,,,,,,,
coastal carolina chanticleers,coastal carolina chanticleers,,,,,,,,,,,,
cocks,south carolina gamecocks,,,,,,,,,,,,
colgate,colgate raiders,,,,,,,,,,,,
colgate raiders,colgate raiders,,,,,,,,,,,,
college of faith,college of faith (nc) saints,,,,,,,,,,,,
college of faith (nc) saints,college of faith (nc) saints,,,,,,,,,,,,
colonels,eastern kentucky colonels,nicholls colonels,,,,,,,,,,,
colorado,colorado buffaloes,,,,,,,,,,,,
colorado buffaloes,colorado buffaloes,,,,,,,,,,,,
colorado mines,colorado mines orediggers,,,,,,,,,,,,
colorado mines orediggers,colorado mines orediggers,,,,,,,,,,,,
colorado state,colorado state rams,,,,,,,,,,,,
colorado state rams,colorado state rams,,,,,,,,,,,,
colorado state university,colorado state rams,,,,,,,,,,,,
colorado state university rams,colorado state rams,,,,,,,,,,,,
columbia,columbia lions,,,,,,,,,,,,
columbia lions,columbia lions,,,,,,,,,,,,
commodores,vanderbilt commodores,,,,,,,,,,,,
concordia,concordia (qc) stingers,,,,,,,,,,,,
concordia university stingers,concordia (qc) stingers,,,,,,,,,,,,
conn,connecticut huskies,,,,,,,,,,,,
connecticut,connecticut huskies,,,,,,,,,,,,
connecticut huskies,connecticut huskies,,,,,,,,,,,,
convicts,miami hurricanes,,,,,,,,,,,,
cornell,cornell big red,,,,,,,,,,,,
cornell big red,cornell big red,,,,,,,,,,,,
cornhuskers,nebraska cornhuskers,,,,,,,,,,,,
cougars,byu cougars,houston cougars,washington state cougars,,,,,,,,,,
cougs,byu cougars,houston cougars,washington state cougars,,,,,,,,,,
cowboys,hardin-simmons cowboys,oklahoma state cowboys,wyoming cowboys,,,,,,,,,,
coyotes,south dakota coyotes,,,,,,,,,,,,
crimson,harvard crimson,,,,,,,,,,,,
